,Furnishing,Tenant Preferred,Car Parking,Availability,Carpet Area,Floor,facing,overlooking,Bathroom,Balcony,Super Area,Ownership,Owner Resides,Dimensions,Property_Type,Project_name,Price
136,Furnished,Bachelors/Family,1 Covered,From Jan '23,,5 out of 29,East,"Garden/Park, Pool, Main Road",4,2,2321 sqft,,,,3 BHK Apartment for Rent in whitefield,Prestige Lakeside Habitat,"₹68,000"
137,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,,,,,3,3,2400 sqft,,,,3 BHK Villa for Rent in Horamavu,Prestige Augusta Golf Village,"₹49,000"
138,Semi-Furnished,Bachelors/Family,,Immediately,,,East,"Garden/Park, Main Road",3,1,2000 sqft,Freehold,,,3 BHK Villa for Rent in whitefield,Adarsh Palm Meadows,₹1 Lac 
139,Semi-Furnished,Bachelors/Family,,Immediately,1006 sqft,11 out of 21,North,"Pool, Garden/Park, Main Road",2,1,,,,,2 BHK Apartment for Rent in whitefield,Divyasree Republic of Whitefield,"₹38,000"
140,Semi-Furnished,Bachelors,,Immediately,2200 sqft,8 out of 34,North - East,"Garden/Park, Main Road, Pool",4,1,,,,,3 BHK Apartment for Rent in Hebbal,Karle Zenith,"₹75,000"
141,Semi-Furnished,Family,1 Covered,Immediately,900 sqft,10 out of 17,North,Garden/Park,2,1,,,,,2 BHK Apartment for Rent in Begur Road,Prestige Song of the South,"₹36,000"
142,Semi-Furnished,Bachelors,1 Covered,Immediately,,9 out of 20,South -West,Garden/Park,3,2,2275 sqft,,,,"3 BHK Apartment for Rent in Itpl, Whitefield",Vaswani Exquisite,"₹90,000"
143,Semi-Furnished,Bachelors/Family,"1 Covered,",Immediately,1579 sqft,1 out of 4,East,"Garden/Park, Pool, Main Road",3,3,,,,,3 BHK Apartment for Rent in Jakkur,MS Palazzo,"₹24,000"
144,Semi-Furnished,Bachelors/Family,,Immediately,1120 sqft,3 out of 7,West,Main Road,3,1,,,,,3 BHK Apartment for Rent in Thanisandra,Vajram Elina,"₹30,000"
145,Semi-Furnished,Family,2 Covered,Immediately,,12 out of 15,West,Garden/Park,3,2,1985 sqft,,Same Premise,,3 BHK Apartment for Rent in Hebbal Kempapura,L and T Raintree Boulevard,"₹77,000"
146,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1600 sqft,5 out of 13,North - East,"Garden/Park, Pool, Main Road",3,2,,,,,3 BHK Apartment for Rent in Richmond Road,G Corp Sky Gardens,₹1 Lac 
147,Semi-Furnished,Bachelors/Family,,Immediately,1400 sqft,19 out of 32,North,,3,2,,Freehold,,,3 BHK Apartment for Rent in Kanakapura Road,Prestige Falcon City,"₹40,000"
148,Furnished,Bachelors,,Immediately,2100 sqft,7 out of 24,East,"Garden/Park, Main Road",4,3,,,,,3 BHK Apartment for Rent in Malleshwaram,Sattva Luxuria,"₹90,000"
149,Furnished,Bachelors/Family,2 Covered,Immediately,,10 out of 18,South,"Garden/Park, Pool, Main Road",3,2,2880 sqft,,,,"3 BHK Apartment for Rent in Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2",Pebble Bay,₹1.4 Lac 
150,Semi-Furnished,Bachelors/Family,,Immediately,,18 out of 19,,Main Road,3,3,1943 sqft,Freehold,,,3 BHK Apartment for Rent in Hennur Main Road,-,"₹50,000"
151,Unfurnished,Bachelors,,Immediately,1150 sqft,4 out of 9,East,"Garden/Park, Pool, Main Road",2,,,,,,2 BHK Apartment for Rent in whitefield,Shilpitha Sunflower,"₹32,000"
152,Semi-Furnished,Bachelors,,Immediately,2200 sqft,3 out of 4,North,"Garden/Park, Main Road",3,2,,,,,3 BHK Apartment for Rent in Koramangala Block 4,-,"₹70,000"
153,Semi-Furnished,Family,,Immediately,1400 sqft,12 out of 28,North - East,"Pool, Garden/Park, Main Road",3,1,,Freehold,,,3 BHK Apartment for Rent in Kanakapura Road,Mantri Serenity,"₹38,000"
154,Furnished,Bachelors,,Immediately,1400 sqft,1 out of 4,North,Main Road,2,2,,,,,3 BHK Apartment for Rent in Sarjapur Road,Sri Balaji Paradise ,"₹50,000"
155,Semi-Furnished,Bachelors/Family,,Immediately,,21 out of 23,,,3,3,3503 sqft,,,,3 BHK Apartment for Rent in Cunningham Road,Prestige Kenilworth,₹2.6 Lac 
156,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,1593 sqft,Ground out of 15,,"Garden/Park, Pool",3,2,,,,,"3 BHK Apartment for Rent in Bellandur, Outer Ring Road",The Central Regency Address,"₹80,000"
157,Semi-Furnished,Bachelors/Family,1 Open,Immediately,3150 sqft,,East,,4,2,,,,,3 BHK Villa for Rent in whitefield,Prestige Lakeside Habitat,₹1.6 Lac 
158,Semi-Furnished,Bachelors,,Immediately,1200 sqft,2 out of 4,North - East,Main Road,2,2,,Freehold,,,2 BHK Apartment for Rent in Koramangala 8Th Block,-,"₹32,000"
159,Semi-Furnished,Bachelors,1 Covered,Immediately,2400 sqft,,,Garden/Park,4,3,,,,,3 BHK Villa for Rent in Jakkur,MIMS Espacio,"₹65,000"
160,Unfurnished,Bachelors/Family,,Immediately,,3 out of 4,,,2,1,1150 sqft,,,,"2 BHK Apartment for Rent in Hsr Layout Sector 5, HSR Layout",-,"₹53,000"
161,Semi-Furnished,Bachelors/Family,,Immediately,1550 sqft,12 out of 16,,"Garden/Park, Pool, Main Road",3,3,,,,,"3 BHK Apartment for Rent in Mahalakshmipuram Layout, Mahalakshmipuram",Skav Aastha,"₹55,000"
162,Semi-Furnished,Bachelors,"2 Covered,",Immediately,1700 sqft,2 out of 18,North - East,Garden/Park,3,3,,,,,3 BHK Apartment for Rent in Malleshwaram,Mantri Greens,"₹50,000"
163,Unfurnished,Bachelors,,Immediately,1500 sqft,9 out of 18,North,Pool,3,1,,,,,3 BHK Apartment for Rent in Yelahanka,RMZ Galleria,"₹45,000"
164,Semi-Furnished,Bachelors,,Immediately,975 sqft,13 out of 23,North,"Garden/Park, Main Road",2,2,,,,,2 BHK Apartment for Rent in Hebbal,Prestige Misty Waters,"₹38,000"
165,Semi-Furnished,Bachelors,,Immediately,1299 sqft,1 out of 18,East,"Main Road, Garden/Park, Pool",2,3,,,,,3 BHK Apartment for Rent in Mahadevapura,Brigade Metropolis,"₹45,000"
166,Furnished,Bachelors/Family,,Immediately,,4 out of 6,East,Main Road,1,,600 sqft,,,,1 BHK Apartment for Rent in Hsr Layout,-,"₹24,000"
167,Furnished,Bachelors,,Immediately,950 sqft,2 out of 4,North,Pool,2,2,,,,,2 BHK Apartment for Rent in Uttarahalli,-,"₹19,000"
168,Semi-Furnished,Bachelors,,Immediately,1004 sqft,Ground out of 5,East,"Garden/Park, Pool, Main Road",2,1,,,,,2 BHK Apartment for Rent in Yemalur,Prestige Kew Gardens,"₹52,000"
169,Semi-Furnished,Bachelors/Family,,Immediately,826 sqft,4 out of 4,,,2,1,,,,,2 BHK Apartment for Rent in Kanakapura Road,100 Trees,"₹20,000"
170,Furnished,Family,1 Covered,From May '23,794 sqft,3 out of 4,West,Pool,2,1,,,,,"2 BHK Apartment for Rent in Basavanapura-Kr Puram, Krishnarajapura",Kingston Royale,"₹35,000"
171,Furnished,Bachelors/Family,,Immediately,,2 out of 10,,,2,1,800 sqft,,,,2 BHK Apartment for Rent in Ejipura,-,"₹12,000"
172,Semi-Furnished,Bachelors,,Immediately,980 sqft,11 out of 33,,Pool,2,2,,,,,3 BHK Apartment for Rent in Thanisandra Main Road,-,"₹35,000"
173,Furnished,Bachelors/Family,,Immediately,1580 sqft,1 out of 14,,,3,2,,,,,3 BHK Apartment for Rent in Thanisandra Main Road,-,"₹45,000"
174,Semi-Furnished,Bachelors,,Immediately,,,North - East,Pool,1,,800 sqft,,,,1 BHK  House for Rent in Thambuchetty Palya,-,"₹8,500"
175,Unfurnished,Bachelors,,Immediately,1800 sqft,4 out of 8,,Garden/Park,3,2,,,,,3 BHK Apartment for Rent in HAL Old Airport Road,India Golden Enclave Apartments,"₹75,000"
176,Unfurnished,Bachelors/Family,,Immediately,,1 out of 4,East,,2,1,840 sqft,,,,2 BHK Apartment for Rent in Hormavu Ring Road,Banjara Layout,"₹12,500"
177,Semi-Furnished,Family,,Immediately,600 sqft,3 out of 4,North,,1,,,,,,"2 BHK  House for Rent in Vinayak Nagar, Kattigenahalli",-,"₹13,500"
178,,Bachelors/Family,,Immediately,,,,,,,1144 sqft,,,,2 BHK Apartment for Rent in Sarjapur Road,Brigade Parkside East,"₹47,000"
179,Furnished,Bachelors/Family,,From Feb '23,,6 out of 14,,,2,,1232 sqft,,,,2 BHK Apartment for Rent in whitefield,Sumadhura Nandanam,"₹48,000"
180,Furnished,Bachelors,,From Feb '23,790 sqft,2 out of 4,West,Pool,2,1,,,,,2 BHK Apartment for Rent in K R Puram,Kingston Royale,"₹25,000"
181,Furnished,Bachelors/Family,,Immediately,950 sqft,4 out of 10,,,2,1,,,,,"3 BHK Apartment for Rent in Hoodi, Hoodi",2Getherments Hoodi,"₹13,000"
182,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 5,,,2,1,1000 sqft,,,,2 BHK Apartment for Rent in Old Madras Road,Vijayasri Eldorado,"₹18,000"
183,Semi-Furnished,Bachelors/Family,,Immediately,1200 sqft,,,,1,,,,,,2 BHK  House for Rent in siddapura Whitefield,-,"₹16,000"
184,Semi-Furnished,Bachelors,,Immediately,800 sqft,1 out of 2,North,,2,1,,,,,2 BHK  House for Rent in Ullal Main Road,-,"₹11,000"
185,Unfurnished,Bachelors,,From Feb '23,,1 out of 2,North,Main Road,2,1,800 sqft,,,,2 BHK  House for Rent in Nelamangala,-,"₹12,000"
186,Semi-Furnished,Bachelors/Family,,Immediately,600 sqft,1 out of 2,,,1,1,,,,,1 BHK Builder Floor for Rent in Nagappareddy Layout Doddanekkundi,-,"₹15,000"
187,Furnished,Bachelors/Family,,Immediately,600 sqft,Ground out of 5,West,"Garden/Park, Main Road",1,2,,,,,1 BHK Apartment for Rent in Electronic City,Ittina Mahavir,"₹17,999"
188,Semi-Furnished,Bachelors/Family,,From Jan '23,,1 out of 4,,,1,,600 sqft,,,,2 BHK  House for Rent in Chandra Layout-Attiguppe,-,"₹13,000"
189,Semi-Furnished,Bachelors/Family,1 Covered,From Feb '23,800 sqft,Ground out of 1,East,Main Road,1,1,,,,,2 BHK  House for Rent in Bhattarahalli,-,"₹10,500"
190,Semi-Furnished,Bachelors,,Immediately,200 sqft,Ground out of 1,North,Main Road,2,1,,,,,2 BHK  House for Rent in Ejipura,-,"₹15,200"
191,Semi-Furnished,Bachelors/Family,,Immediately,1040 sqft,9 out of 14,,,2,,,,,,2 BHK Apartment for Rent in Chandrapura,-,"₹13,000"
192,Furnished,Bachelors/Family,,Immediately,1800 sqft,Ground out of 1,,,2,1,,,,,3 BHK  House for Rent in Basaveshvara Nagar,-,"₹50,000"
193,Furnished,Bachelors/Family,,Immediately,1950 sqft,1 out of 5,,,3,4,,,,,3 BHK Apartment for Rent in Kasavanahalli,Brindavan Serenity,"₹50,000"
194,,Bachelors/Family,,Immediately,,,,,,,1820 sqft,,,,3 BHK Apartment for Rent in Marathahalli,Govindam Meghana Homes,"₹50,000"
195,Furnished,Bachelors/Family,,Immediately,800 sqft,4 out of 5,North,Main Road,2,2,,,,,2 BHK Apartment for Rent in Silk Board,Golden Lake View,"₹24,000"
196,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,6 out of 13,West,Main Road,4,2,1985 sqft,,,,3 BHK Apartment for Rent in Hebbal,L and T Raintree Boulevard,"₹90,000"
197,Unfurnished,Bachelors,,From Feb '23,,1 out of 6,North,,2,1,1252 sqft,,,,2 BHK Apartment for Rent in Yelahanka New Town,Elegant Exotica,"₹32,000"
198,Semi-Furnished,Bachelors/Family,,From Feb '23,1230 sqft,1 out of 3,,Garden/Park,2,4,,,,,3 BHK Apartment for Rent in Vasanth Nagar,Embassy Habitat,"₹60,000"
199,Furnished,Bachelors/Family,,Immediately,,3 out of 3,,,2,,955 sqft,,,,2 BHK Apartment for Rent in Rajarajeshwari Nagar,Sai Sumukha Smilee Greens ,"₹16,000"
200,Unfurnished,Bachelors/Family,,Immediately,,1 out of 1,,,1,,950 sqft,,,,2 BHK  House for Rent in Rajaji Nagar Block 1,-,"₹24,000"
201,Unfurnished,Bachelors/Family,,From Apr '23,,4 out of 4,East,"Garden/Park, Pool",2,2,1365 sqft,,,,"2 BHK Apartment for Rent in Bellandur, Outer Ring Road",VARS Parkwood,"₹55,000"
202,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 2,,,3,1,1100 sqft,,,,"3 BHK  House for Rent in Kathreguppe, Banashankari",-,"₹25,000"
203,Semi-Furnished,Family,1 Covered,Immediately,1366 sqft,Ground out of 5,East,Garden/Park,2,1,,,,,"3 BHK Apartment for Rent in Electronic City Phase 2, Electronic City",MJ Lifestyle Astro,"₹27,800"
204,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 3,East,Main Road,2,,1000 sqft,,,,"2 BHK Builder Floor for Rent in Kanaka Nagar, Hebbal",-,"₹17,000"
205,Semi-Furnished,Bachelors/Family,,From Mar '23,,17 out of 18,,,2,,850 sqft,,,,"2 BHK Apartment for Rent in Vindhyagiri Apartments, Doddabanahalli, Bangalore,Vindhyagiri Apartments, Doddabanahalli, Bangalore",Vindhyagiri apartments,"₹15,500"
206,Furnished,Bachelors/Family,,From Jan '23,,2 out of 18,,,2,,1000 sqft,,,,2 BHK Apartment for Rent in Doddabanahalli,Vindhyagiri apartments,"₹14,500"
207,Semi-Furnished,Bachelors/Family,,From Jan '23,,1 out of 3,,,2,,1200 sqft,,,,2 BHK Apartment for Rent in Babusahib Palya,White Clouds,"₹18,500"
208,Furnished,Family,1 Covered,Immediately,1245 sqft,1 out of 5,East,Garden/Park,3,2,,,,,3 BHK Apartment for Rent in Hbr Layout,VRR Stone Arch,"₹36,000"
209,Unfurnished,Bachelors,,Immediately,1800 sqft,1 out of 1,East,,4,1,,,,,3 BHK  House for Rent in Mathikere,-,"₹30,000"
210,Semi-Furnished,Bachelors,,From Feb '23,,1 out of 3,West,"Garden/Park, Pool, Main Road",3,2,1655 sqft,,,,3 BHK Apartment for Rent in Arakere,Suraksha Golden Palms,"₹25,000"
211,Furnished,Bachelors,,Immediately,700 sqft,4 out of 4,East,"Garden/Park, Main Road",1,2,,,,,1 BHK Builder Floor for Rent in Hebbal Kempapura,-,"₹19,000"
212,Semi-Furnished,Bachelors/Family,,Immediately,,4 out of 4,,,2,,790 sqft,,,,2 BHK Apartment for Rent in Ananth Nagar,-,"₹13,500"
213,Semi-Furnished,Bachelors/Family,1 Covered,Immediately,,2 out of 4,East,Garden/Park,2,3,1200 sqft,,Same Premise,,2 BHK Builder Floor for Rent in Avalahalli,-,"₹23,000"
214,Semi-Furnished,Bachelors,,Immediately,900 sqft,1 out of 3,East,Main Road,2,1,,,,,2 BHK Apartment for Rent in Chikkabidarakallu,-,"₹19,000"
215,Unfurnished,Bachelors,,Immediately,,Ground out of 3,East,Pool,2,,1080 sqft,,,,"2 BHK Apartment for Rent in Singasandra, Hosur Road",Yuva Eka,"₹22,000"
216,Semi-Furnished,Bachelors/Family,,Immediately,,2 out of 2,,,2,,1000 sqft,,,,2 BHK Builder Floor for Rent in Hebbal Kempapura,-,"₹10,000"
217,Semi-Furnished,Bachelors/Family,,Immediately,1100 sqft,Ground out of 4,,,2,1,,,,,2 BHK Apartment for Rent in Nehru Nagar-Jakkur,Gagan North Winds,"₹21,000"
218,Furnished,Bachelors,4 Covered,Immediately,1150 sqft,,,,2,,,,,,"2 BHK Apartment for Rent in Alpha garden,kr puram, Bangalore",-,"₹13,000"
219,Furnished,Bachelors/Family,1 Covered,From Mar '23,1350 sqft,3 out of 4,,,3,2,,,,,3 BHK Apartment for Rent in Arekere,Arvind Sowparnika,"₹26,500"
220,Furnished,Bachelors/Family,,Immediately,,4 out of 4,East,,3,2,1460 sqft,,,,3 BHK Apartment for Rent in Kadugodi,Harsha Gateway,"₹25,500"
221,Furnished,Bachelors,,From Mar '23,,7 out of 14,East,,3,3,1950 sqft,,,,"3 BHK Apartment for Rent in Balaji Layout, Kaggadasapura",RR Signature,"₹65,000"
222,Furnished,Bachelors/Family,1 Covered,Immediately,1700 sqft,11 out of 17,East,"Pool, Garden/Park, Main Road",3,3,,,Same Premise,,3 BHK Apartment for Rent in Old Madras Road,Sattva East Crest,"₹58,000"
223,Semi-Furnished,Family,,Immediately,680 sqft,Ground out of 2,East,Garden/Park,2,,,,,25 X 44 ft Sqft,"2 BHK  House for Rent in Kumaraswamy Layout, Kumaraswamy Layout",-,"₹15,000"
224,Semi-Furnished,Bachelors/Family,,Immediately,2200 sqft,1 out of 3,,,3,2,,,,,3 BHK Apartment for Rent in Indira Nagar,Krishvi Bougainvillea,₹1.4 Lac 
225,Semi-Furnished,Bachelors,,Immediately,700 sqft,1 out of 2,East,,2,1,,,,,2 BHK  House for Rent in Margondanahalli,-,"₹9,000"
226,Semi-Furnished,Family,1 Covered,Immediately,,4 out of 4,North - East,Main Road,2,1,2000 sqft,,,,2 BHK Penthouse for Rent in Haralur,-,"₹75,000"
227,Semi-Furnished,Bachelors,1 Covered,From Mar '23,1200 sqft,3 out of 5,West,Main Road,2,4,,,,,3 BHK Apartment for Rent in Kodigehalli,Vignesh Residency,"₹25,000"
228,Semi-Furnished,Bachelors/Family,,Immediately,600 sqft,,,,1,1,,,,,"1 BHK  House for Rent in Hsr Layout Sector 7, HSR Layout",-,"₹16,000"
229,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,1,,500 sqft,,,,2 BHK Apartment for Rent in Malleshwaram,Navaratna Apartments,"₹18,500"
230,Semi-Furnished,Bachelors,1 Open,Immediately,,2 out of 2,North,Main Road,1,,500 sqft,,Same Premise,,1 BHK  House for Rent in House No 15 Shri Manjunatha Nilaya Lakshmipura,-,"₹5,200"
231,Semi-Furnished,Bachelors/Family,,Immediately,,6 out of 15,,,2,,1143 sqft,,,,2 BHK Apartment for Rent in New International Airport Road,Godrej Aqua,"₹25,000"
232,Furnished,Bachelors,,Immediately,1200 sqft,2 out of 10,North,"Pool, Garden/Park, Main Road",2,1,,,,,"2 BHK Apartment for Rent in Electronics City Phase 1, Electronic City",Universal Balaji Classic 2,"₹12,000"
233,Semi-Furnished,Bachelors/Family,,From Mar '23,850 sqft,8 out of 13,,,2,1,,,,,2 BHK Apartment for Rent in Hulimavu,Nitesh Hyde Park,"₹24,000"
234,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,North - East,,2,,1100 sqft,,,,"2 BHK  House for Rent in Beml Layout-Rr Nagar Stage 5, Rajarajeshwari Nagar Stage 5",-,"₹18,500"
235,Unfurnished,Bachelors,,Immediately,720 sqft,4 out of 6,North - East,Main Road,2,1,,,,,2 BHK Apartment for Rent in Bilwaradahalli,-,"₹10,000"
236,,Bachelors/Family,,Immediately,,,,,,,1300 sqft,,,,"2 BHK Apartment for Rent in Jp Nagar Phase 6, J P Nagar, Outer Ring Road",Shriram Southern Crest,"₹40,000"
237,Semi-Furnished,Bachelors/Family,,Immediately,,,,,2,1,1200 sqft,,,,"3 BHK  House for Rent in Kaval Byrasandra, Kaval Byrasandra",-,"₹20,000"
238,Semi-Furnished,Bachelors/Family,2 Covered,Immediately,616 sqft,2 out of 13,East,,1,1,,,,,2 BHK Apartment for Rent in Kanakapura,Rohan Akriti,"₹22,000"
239,Unfurnished,Bachelors,,Immediately,1000 sqft,1 out of 1,South - East,Garden/Park,2,1,,,,,"3 BHK  House for Rent in Kathreguppe, Banashankari",-,"₹16,000"
240,Semi-Furnished,Bachelors/Family,,Immediately,750 sqft,1 out of 1,,,1,1,,,,,"1 BHK Builder Floor for Rent in Jp Nagar Phase 7, J P Nagar",-,"₹12,000"
241,Semi-Furnished,Bachelors,"1 Covered,",Immediately,1250 sqft,Lower Basement out of 2,East,Main Road,2,1,,,,,2 BHK  House for Rent in Rmv Sanjay Nagar,RMS Layout,"₹18,000"
242,Unfurnished,Bachelors/Family,,Immediately,300 sqft,1 out of 3,East,,1,,,,,,"1 BHK  House for Rent in Udaya Nagar, Mahadevapura",-,"₹8,000"
243,Furnished,Family,,Immediately,1000 sqft,1 out of 4,North,Main Road,2,2,,,,,"2 BHK Apartment for Rent in Meenakshi Layout, Kengeri",-,"₹29,000"
244,Unfurnished,Bachelors/Family,,Immediately,800 sqft,Ground out of 3,,,1,,,,,,1 BHK  House for Rent in Rajarajeshwari Nagar,-,"₹7,300"
245,Semi-Furnished,Bachelors/Family,,From Feb '23,800 sqft,2 out of 2,East,"Garden/Park, Main Road",2,1,,,,,2 BHK  House for Rent in Nelamangala,Vedha Royal Residency,"₹10,000"
246,Furnished,Bachelors/Family,,Immediately,,3 out of 3,,,3,,1645 sqft,,,,"3 BHK Apartment for Rent in Singasandra, Hosur Road",Divya Jyothi Royal County,"₹36,000"
247,Unfurnished,Bachelors,,From Feb '23,1000 sqft,1 out of 4,East,Main Road,2,1,,,,,2 BHK Apartment for Rent in Banaswadi,VM Meadows,"₹21,000"
248,Semi-Furnished,Bachelors/Family,,Immediately,,22 out of 29,,,3,1,1613 sqft,,,,3 BHK Apartment for Rent in Begur Road,Prestige Song of the South,"₹42,000"
249,Semi-Furnished,Bachelors/Family,,Immediately,400 sqft,Ground out of 2,East,Main Road,1,1,,,,,1 BHK  House for Rent in Jigani,Venus County,"₹5,500"
250,Semi-Furnished,Bachelors/Family,,Immediately,900 sqft,3 out of 4,,,1,1,,,,,1 BHK  House for Rent in Bannerghatta Main Road,Duo Heights,"₹12,000"
251,Semi-Furnished,Bachelors/Family,,Immediately,,10 out of 21,,,4,,2330 sqft,,,,3 BHK Apartment for Rent in whitefield,Vaswani Exquisite,"₹88,000"
252,Semi-Furnished,Bachelors/Family,,Immediately,,5 out of 7,,,2,,1051 sqft,,,,2 BHK Apartment for Rent in Devanahalli,Ozone Urbana Aqua,"₹16,500"
253,Semi-Furnished,Bachelors/Family,,Immediately,1000 sqft,,,,1,1,,,,,3 BHK  House for Rent in K R Puram,-,"₹16,000"
254,Semi-Furnished,Bachelors/Family,,Immediately,,8 out of 13,,,2,2,1469 sqft,,,,2 BHK Apartment for Rent in Hennur Main Road,-,"₹40,000"
255,Unfurnished,Bachelors/Family,,Immediately,900 sqft,1 out of 2,North,,1,,,,,,1 BHK  House for Rent in Babusapalya,-,"₹8,500"
256,Semi-Furnished,Family,1 Covered,Immediately,1000 sqft,4 out of 5,West,Pool,3,2,,,,,3 BHK Apartment for Rent in Uttarahalli,-,"₹23,000"
257,Furnished,Bachelors/Family,,Immediately,1025 sqft,Upper Basement out of 10,,,2,1,,,,,2 BHK Apartment for Rent in Begur Road,Good Wood,"₹12,000"
258,Semi-Furnished,Bachelors/Family,,Immediately,,3 out of 4,,,2,,785 sqft,,,,2 BHK Apartment for Rent in Basapura,Mahaveer Turquoise,"₹18,000"
259,Semi-Furnished,Bachelors/Family,,Immediately,,Ground out of 2,,,1,,500 sqft,,,,1 BHK  House for Rent in Kalkere,-,"₹7,000"
260,Semi-Furnished,Family,2 Covered,From Jan '23,2240 sqft,,West,,5,2,,,,,3 BHK Villa for Rent in Yelahanka,Prestige Woodside,"₹90,000"
261,Semi-Furnished,Bachelors/Family,,Immediately,,1 out of 5,,,1,,600 sqft,,,,1 BHK Apartment for Rent in Ejipura,-,"₹14,000"
262,,Family,"1 Covered,",Immediately,,Ground out of 1,South,,,,1200 sqft,,,,1 BHK Builder Floor for Rent in Margondanahalli,-,"₹12,000"
263,Semi-Furnished,Bachelors,,Immediately,,3 out of 5,East,,2,2,1650 sqft,,,,3 BHK Apartment for Rent in Kasavanahalli,-,"₹45,000"
264,Semi-Furnished,Bachelors/Family,127 Covered,Immediately,1350 sqft,12 out of 13,South,"Garden/Park, Main Road",3,2,,,Same Premise,,3 BHK Apartment for Rent in Kengeri Main Road,BDA Indraprashta,"₹28,000"
265,Furnished,Bachelors/Family,1 Covered,Immediately,,2 out of 3,,,3,2,2100 sqft,,,,"3 BHK Apartment for Rent in Spice Garden Layout, AECS Layout",Satko Palm Trees Apartments,"₹60,000"
266,Unfurnished,Bachelors/Family,,Immediately,,4 out of 5,,,2,,1000 sqft,,,,2 BHK Apartment for Rent in Marathahalli,Om Shakthi Bhuvana,"₹35,000"
